Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2012 August,Dublin - all residential properties,Base Jan 2005 = 100,56.8
Residential Property Price Index,2012 August,Dublin - houses,Base Jan 2005 = 100,60.2
Residential Property Price Index,2012 August,Dublin - apartments,Base Jan 2005 = 100,46.3
Residential Property Price Index,2012 September,National - all residential properties,Base Jan 2005 = 100,61.1
Residential Property Price Index,2012 September,National - houses,Base Jan 2005 = 100,63.7
Residential Property Price Index,2012 September,National - apartments,Base Jan 2005 = 100,45.1
Residential Property Price Index,2012 September,Dublin - all residential properties,Base Jan 2005 = 100,57.5
Residential Property Price Index,2012 September,Dublin - houses,Base Jan 2005 = 100,60.9
Residential Property Price Index,2012 September,Dublin - apartments,Base Jan 2005 = 100,46.9
Residential Property Price Index,2012 October,National - all residential properties,Base Jan 2005 = 100,61.3
Residential Property Price Index,2012 October,National - houses,Base Jan 2005 = 100,63.8
Residential Property Price Index,2012 October,National - apartments,Base Jan 2005 = 100,45.7
Residential Property Price Index,2012 October,Dublin - all residential properties,Base Jan 2005 = 100,58
Residential Property Price Index,2012 October,Dublin - houses,Base Jan 2005 = 100,61.4
